source,target,value
https://worldview.stratfor.com,Snapshots,15
https://worldview.stratfor.com,Reflections,14
https://worldview.stratfor.com,Stratfor,13
https://worldview.stratfor.com,Forecasts,10
https://worldview.stratfor.com,President,6
https://worldview.stratfor.com,Assessments,6
https://worldview.stratfor.com,Venezuela,5
https://worldview.stratfor.com,president,4
https://worldview.stratfor.com,political,4
https://worldview.stratfor.com,Situation,4
https://worldview.stratfor.com,elections,4
https://worldview.stratfor.com,continuously,3
https://worldview.stratfor.com,1-512-744-4300,3
https://worldview.stratfor.com,Afghanistan,3
https://worldview.stratfor.com,navigate,3
https://worldview.stratfor.com,regional,3
https://worldview.stratfor.com,environment,3
https://worldview.stratfor.com,understand,3
https://worldview.stratfor.com,STRATFOR,3
https://worldview.stratfor.com,changing,3
https://worldview.stratfor.com,Manchester,3
https://worldview.stratfor.com,Perspectives,3
https://worldview.stratfor.com,COMMITMENT,3
https://worldview.stratfor.com,confidently,3
https://worldview.stratfor.com,Challenging,2
https://worldview.stratfor.com,displays,2
https://worldview.stratfor.com,authorities,2
https://worldview.stratfor.com,discusses,2
https://worldview.stratfor.com,WORLDVIEW,2
https://worldview.stratfor.com,freedom-of-navigation,2
https://worldview.stratfor.com,activity,2
https://worldview.stratfor.com,constituent,2
https://worldview.stratfor.com,ANALYSES,2
https://worldview.stratfor.com,Asia-Pacific,2
https://worldview.stratfor.com,intelligence,2
https://worldview.stratfor.com,administration,2
https://worldview.stratfor.com,possible,2
https://worldview.stratfor.com,disputed,2
https://worldview.stratfor.com,scheduling,2
https://worldview.stratfor.com,tryaltering,2
https://worldview.stratfor.com,Analysis,2
https://worldview.stratfor.com,Quarterly,2
https://worldview.stratfor.com,development,2
https://worldview.stratfor.com,Approach,2
https://worldview.stratfor.com,tensions,2
https://worldview.stratfor.com,Colombia,2
https://worldview.stratfor.com,Election,2
https://worldview.stratfor.com,Conviction,2
https://worldview.stratfor.com,government,2
https://worldview.stratfor.com,Corporate,2
https://worldview.stratfor.com,assessments,2
https://worldview.stratfor.com,inciting,2
https://worldview.stratfor.com,Republic,2
https://worldview.stratfor.com,Washington,2
https://worldview.stratfor.com,challenges,2
https://worldview.stratfor.com,European,2
https://worldview.stratfor.com,conflict,2
https://worldview.stratfor.com,Palestinian,2
https://worldview.stratfor.com,assembly,2
https://worldview.stratfor.com,Conflict,2
https://worldview.stratfor.com,SECTIONS,2
https://worldview.stratfor.com,spelling,2
https://worldview.stratfor.com,seven-month,2
https://worldview.stratfor.com,controversy,2
https://worldview.stratfor.com,geopolitical,2
https://worldview.stratfor.com,prepared,2
https://worldview.stratfor.com,Presents,2
https://worldview.stratfor.com,bond-purchasing,1
https://worldview.stratfor.com,espionage,1
https://worldview.stratfor.com,advances,1
https://worldview.stratfor.com,Austerity,1
https://worldview.stratfor.com,prepares,1
https://worldview.stratfor.com,accounts,1
https://worldview.stratfor.com,proposed,1
https://worldview.stratfor.com,relationship,1
https://worldview.stratfor.com,watching,1
https://worldview.stratfor.com,measures,1
https://worldview.stratfor.com,deployment,1
https://worldview.stratfor.com,underlying,1
https://worldview.stratfor.com,multi-billion,1
https://worldview.stratfor.com,inevitable,1
https://worldview.stratfor.com,presidency,1
https://worldview.stratfor.com,milestone,1
https://worldview.stratfor.com,prioritize,1
https://worldview.stratfor.com,pressures,1
https://worldview.stratfor.com,Intentions,1
https://worldview.stratfor.com,celebrate,1
https://worldview.stratfor.com,Initiative,1
https://worldview.stratfor.com,Copyright,1
https://worldview.stratfor.com,symbolic,1
https://worldview.stratfor.com,outweighed,1
https://worldview.stratfor.com,honeymoon,1
https://worldview.stratfor.com,infographics,1
https://worldview.stratfor.com,critical,1
https://worldview.stratfor.com,Reshapes,1
https://worldview.stratfor.com,amendment,1
https://worldview.stratfor.com,Declares,1
https://worldview.stratfor.com,penetrate,1
https://worldview.stratfor.com,counterterrorism,1
https://worldview.stratfor.com,allowing,1
https://worldview.stratfor.com,addresses,1
https://worldview.stratfor.com,external,1
https://worldview.stratfor.com,long-standing,1
https://worldview.stratfor.com,Democratic,1
https://worldview.stratfor.com,implement,1
https://worldview.stratfor.com,multinational,1
https://worldview.stratfor.com,extensive,1
https://worldview.stratfor.com,doubtless,1
https://worldview.stratfor.com,65-nation,1
https://worldview.stratfor.com,received,1
https://worldview.stratfor.com,foundational,1
https://worldview.stratfor.com,direction,1
https://worldview.stratfor.com,Southeast,1
https://worldview.stratfor.com,guarantee,1
https://worldview.stratfor.com,Contributors,1
https://worldview.stratfor.com,SUBSCRIBE,1
https://worldview.stratfor.com,constraints,1
https://worldview.stratfor.com,conducted,1
https://worldview.stratfor.com,evaluations,1
https://worldview.stratfor.com,Sweeping,1
https://worldview.stratfor.com,battlefield,1
https://worldview.stratfor.com,significance,1
https://worldview.stratfor.com,determine,1
https://worldview.stratfor.com,claimant,1
https://worldview.stratfor.com,Different,1
https://worldview.stratfor.com,FORECASTS,1
https://worldview.stratfor.com,question,1
https://worldview.stratfor.com,Discussions,1
https://worldview.stratfor.com,opposition,1
https://worldview.stratfor.com,incoming,1
https://worldview.stratfor.com,Hawthorne,1
https://worldview.stratfor.com,adversaries,1
https://worldview.stratfor.com,deliberately,1
https://worldview.stratfor.com,performance,1
https://worldview.stratfor.com,Transition,1
https://worldview.stratfor.com,intervening,1
https://worldview.stratfor.com,cohabitation,1
https://worldview.stratfor.com,World-class,1
https://worldview.stratfor.com,planners,1
https://worldview.stratfor.com,forward-looking,1
https://worldview.stratfor.com,sanctions,1
https://worldview.stratfor.com,Regardless,1
https://worldview.stratfor.com,sweeping,1
https://worldview.stratfor.com,occasion,1
https://worldview.stratfor.com,alliance,1
https://worldview.stratfor.com,guidance,1
https://worldview.stratfor.com,terrorist,1
https://worldview.stratfor.com,tailwind,1
https://worldview.stratfor.com,nonexistent,1
https://worldview.stratfor.com,participate,1
https://worldview.stratfor.com,alleviating,1
https://worldview.stratfor.com,benchmark,1
https://worldview.stratfor.com,arrested,1
https://worldview.stratfor.com,Technology,1
https://worldview.stratfor.com,de-escalation,1
https://worldview.stratfor.com,presidents,1
https://worldview.stratfor.com,individual,1
https://worldview.stratfor.com,questions,1
https://worldview.stratfor.com,managing,1
https://worldview.stratfor.com,ambitious,1
https://worldview.stratfor.com,entrench,1
https://worldview.stratfor.com,interactive,1
https://worldview.stratfor.com,virtually,1
https://worldview.stratfor.com,southern,1
https://worldview.stratfor.com,intently,1
https://worldview.stratfor.com,KOHSAR/AFP/Getty,1
https://worldview.stratfor.com,building,1
https://worldview.stratfor.com,dilemmas,1
https://worldview.stratfor.com,advantages,1
https://worldview.stratfor.com,TRENDING,1
https://worldview.stratfor.com,practical,1
https://worldview.stratfor.com,institutions,1
https://worldview.stratfor.com,generally,1
https://worldview.stratfor.com,SITUATION,1
https://worldview.stratfor.com,Terrorism,1
https://worldview.stratfor.com,Lucrative,1
https://worldview.stratfor.com,Analyses,1
https://worldview.stratfor.com,involved,1
https://worldview.stratfor.com,legislation,1
https://worldview.stratfor.com,Imposing,1
https://worldview.stratfor.com,Countries,1
https://worldview.stratfor.com,Protests,1
https://worldview.stratfor.com,breaking,1
https://worldview.stratfor.com,approval,1
https://worldview.stratfor.com,businessman,1
https://worldview.stratfor.com,underpinning,1
https://worldview.stratfor.com,reserved,1
https://worldview.stratfor.com,Sections,1
https://worldview.stratfor.com,Struggle,1
https://worldview.stratfor.com,meetings,1
https://worldview.stratfor.com,Recession,1
https://worldview.stratfor.com,important,1
https://worldview.stratfor.com,temporarily,1
https://worldview.stratfor.com,Territories,1
https://worldview.stratfor.com,analysis,1
https://worldview.stratfor.com,Disintegration,1
https://worldview.stratfor.com,resistance,1
https://worldview.stratfor.com,Technological,1
https://worldview.stratfor.com,Mindanao,1
https://worldview.stratfor.com,compendium,1
https://worldview.stratfor.com,Saturday,1
https://worldview.stratfor.com,attempting,1
https://worldview.stratfor.com,Philippine,1
https://worldview.stratfor.com,2010-2012,1
https://worldview.stratfor.com,numbered,1
https://worldview.stratfor.com,succinct,1
https://worldview.stratfor.com,Crossing,1
https://worldview.stratfor.com,partners,1
https://worldview.stratfor.com,Intelligence,1
https://worldview.stratfor.com,analyses,1
https://worldview.stratfor.com,prospect,1
https://worldview.stratfor.com,Fethullah,1
https://worldview.stratfor.com,Tactical,1
https://worldview.stratfor.com,importance,1
https://worldview.stratfor.com,Discover,1
https://worldview.stratfor.com,traction,1
https://worldview.stratfor.com,accompanied,1
https://worldview.stratfor.com,military,1
https://worldview.stratfor.com,international,1
https://worldview.stratfor.com,bringing,1
https://worldview.stratfor.com,examines,1
https://worldview.stratfor.com,singular,1
https://worldview.stratfor.com,demonstrations,1
https://worldview.stratfor.com,Foundation,1
https://worldview.stratfor.com,locations,1
https://worldview.stratfor.com,strategy,1
https://worldview.stratfor.com,Diplomatic,1
https://worldview.stratfor.com,Partners,1
https://worldview.stratfor.com,audience,1
https://worldview.stratfor.com,analysts,1
https://worldview.stratfor.com,detailed,1
https://worldview.stratfor.com,outmaneuver,1
https://worldview.stratfor.com,agreement,1
https://worldview.stratfor.com,Vladimir,1
https://worldview.stratfor.com,extradition,1
https://worldview.stratfor.com,Enterprises,1
https://worldview.stratfor.com,economic,1
https://worldview.stratfor.com,Security,1
https://worldview.stratfor.com,Categories,1
https://worldview.stratfor.com,reportedly,1
https://worldview.stratfor.com,identify,1
https://worldview.stratfor.com,Amphibious,1
https://worldview.stratfor.com,Iranian-born,1
https://worldview.stratfor.com,approximate,1
https://worldview.stratfor.com,Hydrogen,1
https://worldview.stratfor.com,Problems,1
https://worldview.stratfor.com,domestic,1
https://worldview.stratfor.com,attention,1
https://worldview.stratfor.com,Stratfor.com,1
