Year,Season,Rk,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,Yds/Target,Yds/Rec,Rush,Yds,TD,Fum,Lost,FantasyPts
2017,REG,1,Jermaine Gresham,TE,3,ARI,DAL,9,5,56,47,0,20,5,9,0,0,0,0,0,9.70
2017,REG,2,Troy Niklas,TE,3,ARI,DAL,1,1,100,10,0,10,10,10,0,0,0,0,0,2.00
2017,REG,1,Austin Hooper,TE,3,ATL,DET,2,1,50,9,0,9,5,9,0,0,0,0,0,1.90
2017,REG,2,Levine Toilolo,TE,3,ATL,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,3,Eric Saubert,TE,3,ATL,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Benjamin Watson,TE,3,BAL,JAX,3,3,100,12,1,6,4,4,0,0,0,0,0,10.20
2017,REG,2,Nick Boyle,TE,3,BAL,JAX,2,2,100,14,0,7,7,7,0,0,0,0,0,3.40
2017,REG,1,Charles Clay,TE,3,BUF,DEN,6,6,100,39,1,10,7,7,0,0,0,0,0,15.90
2017,REG,2,Nick O'Leary,TE,3,BUF,DEN,1,1,100,31,0,31,31,31,0,0,0,0,0,4.10
2017,REG,3,Logan Thomas,TE,3,BUF,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Ed Dickson,TE,3,CAR,NO,1,1,100,8,0,8,8,8,0,0,0,0,0,1.80
2017,REG,2,Chris Manhertz,TE,3,CAR,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Adam Shaheen,TE,3,CHI,PIT,1,1,100,2,1,2,2,2,0,0,0,0,0,7.20
2017,REG,2,Zach Miller,TE,3,CHI,PIT,3,1,33,17,0,17,6,17,0,0,0,0,0,2.70
2017,REG,3,Dion Sims,TE,3,CHI,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Tyler Kroft,TE,3,CIN,GB,4,3,75,28,0,14,7,9,0,0,0,0,0,5.80
2017,REG,2,Ryan Hewitt,TE,3,CIN,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,3,CJ Uzomah,TE,3,CIN,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,4,Cethan Carter,TE,3,CIN,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,David Njoku,TE,3,CLE,IND,4,2,50,12,1,11,3,6,0,0,0,0,0,9.20
2017,REG,2,Seth DeValve,TE,3,CLE,IND,5,2,40,29,0,20,6,15,0,0,0,0,0,4.90
2017,REG,3,Randall Telfer,TE,3,CLE,IND,1,1,100,4,0,4,4,4,0,0,0,0,0,1.40
2017,REG,1,Jason Witten,TE,3,DAL,ARI,4,1,25,3,0,3,1,3,0,0,0,0,0,1.30
2017,REG,2,James Hanna,TE,3,DAL,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,3,Geoff Swaim,TE,3,DAL,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Virgil Green,TE,3,DEN,BUF,3,3,100,18,0,14,6,6,0,0,0,0,0,4.80
2017,REG,2,AJ Derby,TE,3,DEN,BUF,2,1,50,5,0,5,3,5,0,0,0,0,0,1.50
2017,REG,3,Jeff Heuerman,TE,3,DEN,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Eric Ebron,TE,3,DET,ATL,7,2,29,9,0,8,1,5,0,0,0,0,0,2.90
2017,REG,2,Darren Fells,TE,3,DET,ATL,1,1,100,8,0,8,8,8,0,0,0,0,0,1.80
2017,REG,3,Michael Roberts,TE,3,DET,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Lance Kendricks,TE,3,GB,CIN,3,2,67,52,1,51,17,26,0,0,0,0,0,13.20
2017,REG,2,Martellus Bennett,TE,3,GB,CIN,4,3,75,12,0,6,3,4,0,0,0,0,0,4.20
2017,REG,3,Richard Rodgers,TE,3,GB,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Ryan Griffin,TE,3,HOU,NE,6,5,83,61,1,35,10,12,0,0,0,0,0,17.10
2017,REG,2,Stephen Anderson,TE,3,HOU,NE,3,1,33,14,0,14,5,14,0,0,0,0,0,2.40
2017,REG,1,Jack Doyle,TE,3,IND,CLE,5,2,40,16,0,11,3,8,0,0,0,1,1,2.60
2017,REG,2,Brandon Williams,TE,3,IND,CLE,1,1,100,7,0,7,7,7,0,0,0,0,0,1.70
2017,REG,3,Darrell Daniels,TE,3,IND,CLE,1,1,100,6,0,6,6,6,0,0,0,0,0,1.60
2017,REG,1,Marcedes Lewis,TE,3,JAX,BAL,5,4,80,62,3,30,12,16,0,0,0,0,0,28.20
2017,REG,2,James O'Shaughnessy,TE,3,JAX,BAL,1,1,100,12,0,12,12,12,0,0,0,0,0,2.20
2017,REG,3,Ben Koyack,TE,3,JAX,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Travis Kelce,TE,3,KC,LAC,1,1,100,1,0,1,1,1,0,0,0,0,0,1.10
2017,REG,2,Demetrius Harris,TE,3,KC,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,3,Ross Travis,TE,3,KC,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Antonio Gates,TE,3,LAC,KC,5,2,40,30,0,16,6,15,0,0,0,0,0,5.00
2017,REG,2,Sean McGrath,TE,3,LAC,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,3,Hunter Henry,TE,3,LAC,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Derek Carrier,TE,3,LAR,SF,1,1,100,17,0,17,17,17,0,0,0,0,0,2.70
2017,REG,2,Tyler Higbee,TE,3,LAR,SF,3,1,33,4,0,4,1,4,0,0,0,0,0,1.40
2017,REG,3,Gerald Everett,TE,3,LAR,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Julius Thomas,TE,3,MIA,NYJ,5,3,60,16,0,7,3,5,0,0,0,0,0,4.60
2017,REG,2,Anthony Fasano,TE,3,MIA,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,3,MarQueis Gray,TE,3,MIA,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Kyle Rudolph,TE,3,MIN,TB,2,1,50,4,0,4,2,4,0,0,0,0,0,1.40
2017,REG,2,Blake Bell,TE,3,MIN,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,3,David Morgan,TE,3,MIN,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Rob Gronkowski,TE,3,NE,HOU,10,8,80,89,1,22,9,11,0,0,0,1,0,22.90
2017,REG,2,Jacob Hollister,TE,3,NE,HOU,1,1,100,19,0,19,19,19,0,0,0,0,0,2.90
2017,REG,3,Dwayne Allen,TE,3,NE,HOU,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Coby Fleener,TE,3,NO,CAR,1,1,100,21,0,21,21,21,0,0,0,0,0,3.10
2017,REG,2,Josh Hill,TE,3,NO,CAR,1,1,100,3,0,3,3,3,0,0,0,0,0,1.30
2017,REG,3,Michael Hoomanawanui,TE,3,NO,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,4,Trey Edmunds,TE,3,NO,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Evan Engram,TE,3,NYG,PHI,7,5,71,45,0,14,6,9,0,0,0,0,0,9.50
2017,REG,2,Rhett Ellison,TE,3,NYG,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,3,Jerell Adams,TE,3,NYG,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Austin Seferian-Jenkins,TE,3,NYJ,MIA,6,5,83,31,0,13,5,6,0,0,0,0,0,8.10
2017,REG,2,Will Tye,TE,3,NYJ,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Jared Cook,TE,3,OAK,WAS,6,4,67,43,1,21,7,11,0,0,0,0,0,14.30
2017,REG,2,Clive Walford,TE,3,OAK,WAS,1,1,100,-1,0,-1,-1,-1,0,0,0,0,0,0.90
2017,REG,3,Lee Smith,TE,3,OAK,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Zach Ertz,TE,3,PHI,NYG,10,8,80,55,1,12,6,7,0,0,0,1,1,18.50
2017,REG,2,Trey Burton,TE,3,PHI,NYG,3,2,67,7,0,8,2,4,0,0,0,0,0,2.70
2017,REG,3,Brent Celek,TE,3,PHI,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Jesse James,TE,3,PIT,CHI,4,2,50,19,0,14,5,10,0,0,0,0,0,3.90
2017,REG,2,Vance McDonald,TE,3,PIT,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,3,Xavier Grimble,TE,3,PIT,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Luke Willson,TE,3,SEA,TEN,4,3,75,53,1,27,13,18,0,0,0,0,0,14.30
2017,REG,2,Jimmy Graham,TE,3,SEA,TEN,11,7,64,72,0,26,7,10,0,0,0,0,0,14.20
2017,REG,3,Nick Vannett,TE,3,SEA,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Garrett Celek,TE,3,SF,LAR,2,1,50,1,1,1,1,1,0,0,0,0,0,7.10
2017,REG,2,George Kittle,TE,3,SF,LAR,3,1,33,8,0,8,3,8,0,0,0,0,0,1.80
2017,REG,3,Logan Paulsen,TE,3,SF,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Cameron Brate,TE,3,TB,MIN,4,4,100,33,1,18,8,8,0,0,0,0,0,13.30
2017,REG,2,OJ Howard,TE,3,TB,MIN,1,1,100,12,0,12,12,12,0,0,0,0,0,2.20
2017,REG,3,Luke Stocker,TE,3,TB,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Jonnu Smith,TE,3,TEN,SEA,2,1,50,24,1,24,12,24,0,0,0,0,0,9.40
2017,REG,2,Delanie Walker,TE,3,TEN,SEA,6,4,67,31,0,11,5,8,0,0,0,0,0,7.10
2017,REG,3,Phillip Supernaw,TE,3,TEN,SEA,1,1,100,3,0,3,3,3,0,0,0,0,0,1.30
2017,REG,1,Vernon Davis,TE,3,WAS,OAK,5,5,100,58,1,26,12,12,0,0,0,0,0,16.80
2017,REG,2,Niles Paul,TE,3,WAS,OAK,1,1,100,-3,0,-3,-3,-3,0,0,0,0,0,0.70
2017,REG,3,Jeremy Sprinkle,TE,3,WAS,OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00